Tue, 13 May 2025 23:54:39 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail300@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 199739<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1\/\/verificar?mail=mail300@gmail.com&codigo=199739\r\nO ingresalo directo en el sitio en la seccion 'Validar correo'.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>"}
Tue, 13 May 2025 23:57:11 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail303@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 109373<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1\/\/verificar?mail=mail303@gmail.com&codigo=109373\r\nO ingresalo directo en el sitio en la seccion 'Validar correo'.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>"}
Tue, 13 May 2025 23:59:43 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail350@gmial.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 103201<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1\/verificar?mail=mail350@gmial.com&codigo=103201\r\nO ingresalo directo en el sitio en la seccion 'Validar correo'.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\nTuesday 13, May de 2025"}
Thu, 15 May 2025 13:03:30 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail200@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 120202<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1\/verificar?mail=mail200@gmail.com&codigo=120202\r\nO ingresalo directo en el sitio en la seccion 'Validar correo'.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\n<div>Thursday 15, May de 2025<\/div>"}
Thu, 15 May 2025 13:22:38 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail500@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 136165<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1\/verificar?mail=mail500@gmail.com&codigo=136165\r\nO ingresalo directo en el sitio en la seccion 'Validar correo'.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\n<div>Thursday 15, May de 2025<\/div>"}
Thu, 15 May 2025 14:22:13 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail300@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: c4a5305ada9bab6f82791c558c98a0dc<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1\/verificar?mail=mail300%40gmail.com&codigo=c4a5305ada9bab6f82791c558c98a0dc\r\nO ingresalo directo en el sitio en la seccion 'Validar correo'.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\n<div>Thursday 15, May de 2025<\/div>"}
Thu, 15 May 2025 15:29:35 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail450@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 206534<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1:3000\/verificar?mail=mail450%40gmail.com&codigo=206534\r\nO ingresalo directo en el sitio en la seccion <a href=\"http:\/\/127.0.0.1:3000\/verificar\">'Validar correo'<\/a>.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\n<div>Thursday 15, May de 2025<\/div>\r\n"}
Thu, 15 May 2025 15:51:00 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail200@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 194715<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1:3000\/verificar?mail=mail200%40gmail.com&codigo=194715\r\nO ingresalo directo en el sitio en la seccion <a href=\"http:\/\/127.0.0.1:3000\/verificar\">'Validar correo'<\/a>.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\n<div>Thursday 15, May de 2025<\/div>\r\n"}
Thu, 15 May 2025 15:53:40 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail550@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 943138<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1:3000\/verificar?mail=mail550%40gmail.com&codigo=943138\r\nO ingresalo directo en el sitio en la seccion <a href=\"http:\/\/127.0.0.1:3000\/verificar\">'Validar correo'<\/a>.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\n<div>Thursday 15, May de 2025<\/div>\r\n"}
Tue, 20 May 2025 23:10:06 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail133@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 960145<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1:3000\/verificar?mail=mail133%40gmail.com&codigo=960145\r\nO ingresalo directo en el sitio en la seccion <a href=\"http:\/\/127.0.0.1:3000\/verificar\">'Validar correo'<\/a>.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\n<div>Tuesday 20, May de 2025<\/div>\r\n"}
Fri, 23 May 2025 20:06:48 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\nEHLO 127.0.0.1\n250 OK\nSTARTTLS\n250 OK\nEHLO 127.0.0.1\n250 OK\nMAIL FROM: <no-reply@elcatalogo.cl>\n250 OK\nRCPT TO: <\"\">\n250 OK\nRCPT TO: <mail201@gmail.com>\n250 OK\nDATA\n354 Go ahead\nQUIT\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 230722<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/127.0.0.1:3000\/verificar?mail=mail201%40gmail.com&codigo=230722\r\nO ingresalo directo en el sitio en la seccion <a href=\"http:\/\/127.0.0.1:3000\/verificar\">'Validar correo'<\/a>.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\n<div>Friday 23, May de 2025<\/div>\r\n"}
Sun, 25 May 2025 00:41:02 -0400 [127.0.0.1] {"mensaje":"220 tcp:\/\/smtp.elcatalogo.cl ESMTP ready\r\nEHLO elcatalogo.test\r\n250 OK\r\nSTARTTLS\r\n250 OK\r\nEHLO elcatalogo.test\r\n250 OK\r\nMAIL FROM: <no-reply@elcatalogo.cl>\r\n250 OK\r\nRCPT TO: <\"\">\r\n250 OK\r\nRCPT TO: <mail330@gmail.com>\r\n250 OK\r\nDATA\r\n354 Go ahead\r\nQUIT\r\n221 tcp:\/\/smtp.elcatalogo.cl closing connection\r\n","textos":"<h4>Codigo verificacion El Catalogo<\/h4>\r\n<p>Bienvenid@ a El Catalogo, tu codigo de verificacion es: 004627<\/p>\r\n<p><\/p>Para validarlo favor has click en el siguiente enlace: http:\/\/elcatalogo.test:3080\/verificar?mail=mail330%40gmail.com&codigo=004627\r\nO ingresalo directo en el sitio en la seccion <a href=\"http:\/\/elcatalogo.test:3080\/verificar\">'Validar correo'<\/a>.<\/p>\r\n<p>Si no te has registrado en El Catalogo, por favor ignora este mensaje.<\/p>\r\n<p>Saludos, tu equipo de El Catalogo<\/p>\r\n<div>Sunday 25, May de 2025<\/div>\r\n"}
